级别,规则,单词,音标,分块,分块音标,类型,说明
WARN,risky_word_without_sounds,hour,/ˈaʊə/,h | ou | r,,consonant vowel_team consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,housewarming,/ˈhaʊzwɔːmɪŋ/,h | ou | s | ew | ar | m | ing,,consonant vowel_team consonant vowel_team r_controlled consonant suffix,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,housework,/ˈhaʊswɜːk/,h | ou | s | ew | or | k,,consonant vowel_team consonant vowel_team r_controlled consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,humorous,/ˈhjuːməəs/,h | u | m | or | ou | s,,consonant vowel consonant r_controlled vowel_team consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,ed_not_grouped,hundred,/ˈhʌndrəd/,h | u | n | dr | e | d,/h/ /ʌ/ /n/ /dr/ /ə/ /d/,consonant vowel consonant consonant vowel consonant,`-ed` 词尾没有作为整体分块。
WARN,risky_word_without_sounds,hungry,/ˈhʌŋɡri/,h | u | ng | r | y,,consonant vowel consonant consonant consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,ice-cream,/ˈaɪskriːm/,ice-cream,,word,包含高风险拼读组合，但没有可靠分块音标。
WARN,high_risk_pattern_split,idea,/aɪˈdɪə/,i | d | e | a,/aɪ/ /d/ /ɪ/ /ə/,vowel consonant vowel vowel,高风险拼读组合 `ea` 没有作为整体分块。
WARN,weak_visual_split,importance,/ɪmˈpɔːtns/,i | m | p | or | t | a | n | c | e,,vowel consonant consonant r_controlled consonant vowel consonant consonant vowel,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,inspiration,/ˌɪnspəˈreɪʃn/,i | n | sp | ir | a | tion,,vowel consonant consonant r_controlled vowel suffix,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,interesting,/ˈɪntrəstɪŋ/,i | n | t | er | es | t | ing,,vowel consonant consonant r_controlled suffix consonant suffix,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,J.K. Rowling,/jkrowling/,J.K. Rowling,,word,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,journalist,/ˈdʒɜːnəlɪst/,j | ou | r | n | al | i | st,,consonant vowel_team consonant consonant vowel vowel consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,journey,/ˈdʒɜːni/,j | ou | r | n | e | y,,consonant vowel_team consonant consonant vowel consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,kangaroo,/ˌkæŋɡəˈruː/,k | a | ng | ar | oo,,consonant vowel consonant r_controlled vowel_team,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,Kevin,/ˈkɛvɪn/,K | e | v | i | n,,consonant vowel consonant vowel consonant,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,keyboard,/ˈkiːbɔːd/,k | e | y | b | oa | r | d,,consonant vowel consonant consonant vowel_team consonant consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,kilometre,/ˈkɪləmiːtə/,k | i | l | o | m | e | tr | e,,consonant vowel consonant vowel consonant vowel consonant vowel,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,kind-hearted,/kaɪndˈhɑːtɪd/,kind-hearted,,word,包含高风险拼读组合，但没有可靠分块音标。
WARN,ed_not_grouped,kind-hearted,/kaɪndˈhɑːtɪd/,kind-hearted,,word,`-ed` 词尾没有作为整体分块。
WARN,risky_word_without_sounds,knowledge,/ˈnɒlɪdʒ/,kn | ow | le | d | g | e,,consonant vowel_team vowel consonant consonant vowel,包含高风险拼读组合，但没有可靠分块音标。
WARN,high_risk_pattern_split,koala,/kəʊˈɑːlə/,k | o | a | l | a,/k/ /əʊ/ /ɑː/ /l/ /ə/,consonant vowel vowel consonant vowel,高风险拼读组合 `oa` 没有作为整体分块。
WARN,risky_word_without_sounds,Korea,/kəˈriə/,K | or | ea,,consonant r_controlled vowel_team,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,language,/ˈlæŋɡwɪdʒ/,l | a | ng | u | a | g | e,,consonant vowel consonant vowel vowel consonant vowel,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,licence,/ˈlaɪsns/,l | i | c | e | n | c | e,,consonant vowel consonant vowel consonant consonant vowel,连续单字母视觉拆分过长，教学价值低。
WARN,weak_visual_split,license,/ˈlaɪsns/,l | i | c | e | n | s | e,,consonant vowel consonant vowel consonant consonant vowel,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,lifeboat,/ˈlaɪfbəʊt/,l | i | f | e | b | oa | t,,consonant vowel consonant vowel consonant vowel_team consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,lifeboat,/ˈlaɪfbəʊt/,l | i | f | e | b | oa | t,,consonant vowel consonant vowel consonant vowel_team consonant,连续单字母视觉拆分过长，教学价值低。
WARN,weak_visual_split,lifeguard,/ˈlaɪfɡɑːd/,l | i | f | e | g | u | ar | d,,consonant vowel consonant vowel consonant vowel r_controlled consonant,连续单字母视觉拆分过长，教学价值低。
WARN,weak_visual_split,lifetime,/ˈlaɪftaɪm/,l | i | f | e | t | i | m | e,,consonant vowel consonant vowel consonant vowel consonant vowel,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,long hair,/lɔŋhɛr/,long hair,,word,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,Macao,/məˈkaʊ/,M | a | c | a | o,,consonant vowel consonant vowel vowel,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,machine,/məˈʃiːn/,m | a | ch | i | n | e,,consonant vowel consonant vowel consonant vowel,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,magician,/məˈdʒɪʃn/,m | a | g | i | cian,,consonant vowel consonant vowel suffix,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,make a snowman,/meɪkəˈsnəʊmæn/,make a snowman,,word,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,manage,/ˈmænɪdʒ/,m | a | n | a | g | e,,consonant vowel consonant vowel consonant vowel,连续单字母视觉拆分过长，教学价值低。
WARN,weak_visual_split,manager,/ˈmænɪdʒə/,m | a | n | a | g | er,,consonant vowel consonant vowel consonant r_controlled,连续单字母视觉拆分过长，教学价值低。
WARN,weak_visual_split,Mandy,/ˈmændɪ/,M | a | n | d | y,,consonant vowel consonant consonant consonant,连续单字母视觉拆分过长，教学价值低。
WARN,weak_visual_split,marriage,/ˈmærɪdʒ/,m | ar | r | i | a | g | e,,consonant r_controlled consonant vowel vowel consonant vowel,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,maybe,/ˈmeɪbi/,m | ay | b | e,,consonant vowel_team consonant vowel,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,medicine,/ˈmedsn/,m | ed | i | c | i | n | e,,consonant suffix vowel consonant vowel consonant vowel,连续单字母视觉拆分过长，教学价值低。
